job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,min_salary,max_salary,avg_salary,city,state
349,Ware-Ellis,Automotive,nlp engineer,"SQL, MLflow, Power BI, FastAPI, NumPy",Senior,Full-time,"Leeview, MA",115657-181953,2024-10-13,Startup,"FastAPI, BigQuery, MLflow",115657.0,181953.0,148805.0,Leeview,MA
350,"Snyder, Simpson and Maxwell",Tech,ai product manager,"FastAPI, NumPy, C++, MLflow, GCP",Senior,Contract,"East Robert, CV",97381-144492,2024-01-16,Large,"Scikit-learn, MLflow",97381.0,144492.0,120936.5,East Robert,CV
351,Ellis Ltd,Retail,ai researcher,"SQL, Pandas, Power BI, FastAPI",Entry,Internship,"Bullockton, KP",55751-133772,2023-12-25,Startup,MLflow,55751.0,133772.0,94761.5,Bullockton,KP
352,"Blair, Ruiz and Sanchez",Retail,computer vision engineer,"FastAPI, Power BI, Azure, Python",Entry,Internship,"Perezview, SN",90552-188412,2025-07-23,Mid,"LangChain, KDB+",90552.0,188412.0,139482.0,Perezview,SN
353,Griffin-Dalton,Education,ml engineer,"Python, PyTorch, Excel",Entry,Contract,"Knightmouth, AF",69230-128642,2024-01-02,Large,"LangChain, BigQuery, FastAPI",69230.0,128642.0,98936.0,Knightmouth,AF
354,Alexander PLC,Automotive,data analyst,"LangChain, GCP, R, MLflow, Scikit-learn",Entry,Contract,"Lake Marcia, MT",71489-149503,2025-04-22,Mid,"KDB+, PyTorch",71489.0,149503.0,110496.0,Lake Marcia,MT
355,"Velazquez, Brewer and Murphy",E-commerce,quant researcher,"C++, LangChain, Power BI, Pandas, CUDA, TensorFlow",Senior,Remote,"Mooreville, NP",57739-75267,2025-05-22,Startup,FastAPI,57739.0,75267.0,66503.0,Mooreville,NP
356,Bean LLC,Education,quant researcher,"Excel, Power BI, Reinforcement Learning, SQL, NumPy",Senior,Internship,"Port Matthewhaven, ST",149192-228942,2025-09-12,Large,"PyTorch, TensorFlow, MLflow",149192.0,228942.0,189067.0,Port Matthewhaven,ST
357,Rogers-Villanueva,E-commerce,ml engineer,"Flask, FastAPI, CUDA",Mid,Internship,"New Kenneth, DO",91346-160302,2024-06-09,Large,"TensorFlow, FastAPI",91346.0,160302.0,125824.0,New Kenneth,DO
358,Taylor PLC,Tech,data analyst,"Power BI, MLflow, TensorFlow, AWS, Hugging Face",Senior,Remote,"Schroederport, DK",56886-146884,2024-05-10,Mid,FastAPI,56886.0,146884.0,101885.0,Schroederport,DK
359,Lee Group,Tech,quant researcher,"Python, Power BI, Scikit-learn, FastAPI, Excel, SQL",Entry,Full-time,"Taylorstad, MR",56258-108983,2024-12-18,Large,PyTorch,56258.0,108983.0,82620.5,Taylorstad,MR
360,"Miller, Browning and Shaw",Tech,ai product manager,"Reinforcement Learning, CUDA, NumPy",Senior,Full-time,"Bryanburgh, SK",139096-176960,2024-01-25,Large,MLflow,139096.0,176960.0,158028.0,Bryanburgh,SK
361,"Branch, Elliott and Ramirez",Automotive,nlp engineer,"Power BI, Keras, TensorFlow, FastAPI",Entry,Remote,"New Micheletown, NZ",120316-133437,2025-08-21,Large,"MLflow, TensorFlow, FastAPI",120316.0,133437.0,126876.5,New Micheletown,NZ
362,"Reyes, Vincent and Hayes",Finance,ai product manager,"Hugging Face, R, LangChain",Mid,Internship,"Kathleenton, IQ",48868-94542,2025-01-31,Large,FastAPI,48868.0,94542.0,71705.0,Kathleenton,IQ
363,Rose Ltd,Finance,nlp engineer,"Pandas, CUDA, AWS, TensorFlow, Python",Entry,Full-time,"South Brianmouth, JM",108994-183026,2025-08-13,Mid,"MLflow, FastAPI, BigQuery",108994.0,183026.0,146010.0,South Brianmouth,JM
364,Miller-Bishop,Healthcare,ai product manager,"Hugging Face, GCP, Excel, NumPy",Senior,Remote,"West Stephaniefort, FR",118921-192736,2024-12-02,Large,"LangChain, FastAPI",118921.0,192736.0,155828.5,West Stephaniefort,FR
365,Krueger-Tanner,E-commerce,ai product manager,"LangChain, Reinforcement Learning, FastAPI, Power BI, AWS",Entry,Internship,"Port Rebecca, US",57113-75630,2024-03-25,Mid,"KDB+, TensorFlow, PyTorch",57113.0,75630.0,66371.5,Port Rebecca,US
366,"Johnson, Castaneda and Duke",Tech,ai product manager,"CUDA, FastAPI, Python",Mid,Full-time,"Powellshire, JM",70702-164914,2025-05-12,Startup,"MLflow, PyTorch",70702.0,164914.0,117808.0,Powellshire,JM
367,"Riley, Beltran and Lucero",E-commerce,data analyst,"Flask, TensorFlow, Scikit-learn, MLflow",Entry,Full-time,"North Natalie, EC",114639-183492,2025-06-09,Startup,LangChain,114639.0,183492.0,149065.5,North Natalie,EC
368,Perez-Williams,Healthcare,ai product manager,"Scikit-learn, SQL, GCP, Hugging Face",Senior,Contract,"West Denisetown, VU",110697-201149,2024-06-04,Mid,MLflow,110697.0,201149.0,155923.0,West Denisetown,VU
369,Silva-Russell,Retail,data analyst,"Reinforcement Learning, MLflow, PyTorch, LangChain, Hugging Face, AWS",Senior,Remote,"Petersonchester, UG",68664-136603,2024-09-13,Mid,"TensorFlow, PyTorch",68664.0,136603.0,102633.5,Petersonchester,UG
370,"Matthews, Bailey and Banks",Education,nlp engineer,"R, Python, PyTorch, CUDA",Entry,Remote,"Daughertyborough, SA",64445-150617,2024-09-08,Large,"KDB+, PyTorch, FastAPI",64445.0,150617.0,107531.0,Daughertyborough,SA
371,Santiago-King,Education,quant researcher,"MLflow, Keras, TensorFlow, CUDA, Flask",Entry,Remote,"Lake Linda, AT",74954-114010,2024-10-12,Mid,"Scikit-learn, PyTorch",74954.0,114010.0,94482.0,Lake Linda,AT
372,"Caldwell, Richardson and Hines",Retail,ai researcher,"CUDA, Power BI, Hugging Face, Pandas, MLflow",Senior,Internship,"North Jesusfurt, AL",83014-110116,2025-04-07,Large,KDB+,83014.0,110116.0,96565.0,North Jesusfurt,AL
373,"Washington, Smith and Hicks",Automotive,ml engineer,"Flask, PyTorch, Reinforcement Learning, MLflow",Senior,Contract,"West Regina, AG",146097-192440,2024-08-22,Startup,"LangChain, PyTorch",146097.0,192440.0,169268.5,West Regina,AG
374,"Cummings, Ball and Owens",Healthcare,data analyst,"C++, NumPy, CUDA, GCP, TensorFlow, Hugging Face",Entry,Full-time,"Boydtown, HT",50137-121449,2025-03-20,Mid,"TensorFlow, Scikit-learn, PyTorch",50137.0,121449.0,85793.0,Boydtown,HT
375,"Harrington, Gross and Kim",Tech,nlp engineer,"Flask, CUDA, AWS",Senior,Full-time,"Lake Lisamouth, CR",96091-176352,2024-11-25,Startup,Scikit-learn,96091.0,176352.0,136221.5,Lake Lisamouth,CR
376,"Bryan, Harding and Hamilton",Finance,ai product manager,"R, Python, PyTorch, GCP, Power BI",Senior,Contract,"Campbellburgh, PL",118753-156568,2025-05-03,Mid,"MLflow, TensorFlow",118753.0,156568.0,137660.5,Campbellburgh,PL
377,"Miller, Cox and Clark",Tech,quant researcher,"Hugging Face, MLflow, CUDA",Entry,Contract,"Jacksonberg, MR",56022-87385,2023-09-24,Large,"KDB+, PyTorch",56022.0,87385.0,71703.5,Jacksonberg,MR
378,Watson-Boyle,Education,nlp engineer,"FastAPI, TensorFlow, PyTorch",Senior,Full-time,"Geraldville, TT",65449-93935,2024-08-22,Mid,"Scikit-learn, PyTorch, TensorFlow",65449.0,93935.0,79692.0,Geraldville,TT
379,"Montoya, Chambers and Bennett",E-commerce,quant researcher,"Excel, CUDA, Keras",Entry,Remote,"Odommouth, JO",53432-134809,2024-02-09,Startup,"PyTorch, Scikit-learn",53432.0,134809.0,94120.5,Odommouth,JO
380,"Fields, Porter and Martinez",Finance,quant researcher,"Power BI, FastAPI, Azure, MLflow, CUDA",Entry,Full-time,"New Dawn, CV",91250-117518,2025-02-10,Mid,"KDB+, Scikit-learn, FastAPI",91250.0,117518.0,104384.0,New Dawn,CV
381,"Gallegos, Ruiz and Ross",E-commerce,data scientist,"Reinforcement Learning, Hugging Face, GCP, Excel, MLflow, CUDA",Senior,Contract,"Proctorbury, HR",56274-130011,2024-10-24,Large,MLflow,56274.0,130011.0,93142.5,Proctorbury,HR
382,Ingram LLC,Retail,computer vision engineer,"Keras, Excel, Power BI, SQL, GCP",Mid,Internship,"Gonzalezbury, TW",100532-123437,2025-07-28,Large,"KDB+, TensorFlow",100532.0,123437.0,111984.5,Gonzalezbury,TW
383,Moody Inc,E-commerce,ai product manager,"LangChain, Scikit-learn, Keras, Power BI, Excel",Senior,Remote,"West Benjamin, DJ",133743-144254,2023-11-13,Mid,"Scikit-learn, FastAPI",133743.0,144254.0,138998.5,West Benjamin,DJ
384,Walls-Kidd,Tech,ai product manager,"SQL, CUDA, AWS",Entry,Remote,"Wheelermouth, UY",44510-92759,2023-10-20,Startup,TensorFlow,44510.0,92759.0,68634.5,Wheelermouth,UY
385,Mullins Group,Automotive,nlp engineer,"SQL, C++, CUDA, GCP, Flask, Reinforcement Learning",Entry,Contract,"Brianview, DJ",88577-147284,2025-05-16,Mid,BigQuery,88577.0,147284.0,117930.5,Brianview,DJ
386,King Group,Healthcare,nlp engineer,"C++, Excel, Scikit-learn, FastAPI, Power BI",Mid,Full-time,"New Jeffreyhaven, AE",129724-218042,2024-06-04,Large,"LangChain, PyTorch",129724.0,218042.0,173883.0,New Jeffreyhaven,AE
387,Hansen-Stone,Retail,quant researcher,"C++, CUDA, Power BI, Azure, AWS, PyTorch",Entry,Internship,"West William, ID",41023-80713,2024-03-15,Mid,KDB+,41023.0,80713.0,60868.0,West William,ID
388,Gardner Group,Retail,ml engineer,"LangChain, Pandas, Scikit-learn, CUDA, Reinforcement Learning, TensorFlow",Entry,Internship,"Port Monicaborough, KW",106371-127550,2025-04-16,Startup,PyTorch,106371.0,127550.0,116960.5,Port Monicaborough,KW
389,Leonard-Duke,Retail,ai researcher,"Keras, PyTorch, AWS, SQL",Mid,Internship,"Patrickfurt, BD",56530-75014,2025-01-04,Mid,Scikit-learn,56530.0,75014.0,65772.0,Patrickfurt,BD
390,Patton and Sons,Retail,nlp engineer,"Power BI, GCP, TensorFlow, CUDA, MLflow",Entry,Internship,"West Melissa, MH",119266-200044,2024-03-14,Startup,"BigQuery, LangChain, Scikit-learn",119266.0,200044.0,159655.0,West Melissa,MH
391,Vazquez PLC,Automotive,ai product manager,"FastAPI, NumPy, R",Senior,Remote,"New Matthew, SC",131807-227051,2025-03-20,Large,PyTorch,131807.0,227051.0,179429.0,New Matthew,SC
392,Romero PLC,Tech,ml engineer,"FastAPI, NumPy, R",Senior,Internship,"Christianland, PT",50349-109003,2024-06-22,Startup,LangChain,50349.0,109003.0,79676.0,Christianland,PT
393,Howell PLC,Healthcare,quant researcher,"Flask, PyTorch, GCP",Senior,Contract,"Millermouth, CF",56567-116937,2024-09-18,Mid,"LangChain, FastAPI, TensorFlow",56567.0,116937.0,86752.0,Millermouth,CF
394,Beltran PLC,Retail,data analyst,"Azure, PyTorch, Pandas, R, GCP",Entry,Full-time,"Alexiston, UY",137094-205303,2025-04-09,Large,"FastAPI, Scikit-learn",137094.0,205303.0,171198.5,Alexiston,UY
395,Browning Inc,Healthcare,ml engineer,"PyTorch, Azure, LangChain, Python",Senior,Internship,"Shariborough, BO",123710-203362,2024-12-25,Large,"Scikit-learn, MLflow",123710.0,203362.0,163536.0,Shariborough,BO
396,Strong-Davis,Healthcare,data scientist,"Reinforcement Learning, Scikit-learn, TensorFlow, PyTorch, Hugging Face, Flask",Mid,Contract,"Jasonbury, CD",120259-184163,2024-05-30,Startup,PyTorch,120259.0,184163.0,152211.0,Jasonbury,CD
397,"Richardson, Burton and Stephens",Finance,quant researcher,"LangChain, Pandas, Power BI",Entry,Remote,"Timothyland, LR",131912-166499,2024-09-23,Mid,"TensorFlow, FastAPI",131912.0,166499.0,149205.5,Timothyland,LR
398,Salinas-Taylor,Retail,nlp engineer,"PyTorch, MLflow, LangChain",Entry,Internship,"Georgeport, CI",74468-85718,2025-09-13,Mid,KDB+,74468.0,85718.0,80093.0,Georgeport,CI
399,Hunt Ltd,Finance,data analyst,"SQL, GCP, PyTorch",Entry,Remote,"Jacksonfort, PG",43013-128940,2025-09-13,Startup,"KDB+, TensorFlow, PyTorch",43013.0,128940.0,85976.5,Jacksonfort,PG
400,Carr Group,Education,data scientist,"C++, GCP, Reinforcement Learning, R, Python, Power BI",Entry,Full-time,"Murphymouth, GM",55605-70305,2024-09-23,Startup,"PyTorch, KDB+, LangChain",55605.0,70305.0,62955.0,Murphymouth,GM
401,Harris LLC,E-commerce,nlp engineer,"Reinforcement Learning, Pandas, NumPy, FastAPI",Entry,Full-time,"South Randytown, PA",99742-185700,2024-10-25,Mid,TensorFlow,99742.0,185700.0,142721.0,South Randytown,PA
402,Reyes-Lowery,Automotive,ai product manager,"Pandas, Keras, Scikit-learn, TensorFlow",Mid,Internship,"Samanthaborough, VA",103675-173394,2024-07-26,Startup,BigQuery,103675.0,173394.0,138534.5,Samanthaborough,VA
403,"Charles, Henry and Stark",Education,computer vision engineer,"FastAPI, AWS, Hugging Face, R",Mid,Remote,"Valenzuelaborough, BF",126438-181388,2024-04-25,Startup,PyTorch,126438.0,181388.0,153913.0,Valenzuelaborough,BF
404,"Hill, Lucas and Alvarez",Healthcare,nlp engineer,"C++, PyTorch, Flask",Mid,Remote,"Adamport, LC",45855-71005,2025-01-16,Mid,KDB+,45855.0,71005.0,58430.0,Adamport,LC
405,Stone-Lee,Tech,ai researcher,"LangChain, Pandas, AWS",Mid,Contract,"North Rebecca, LS",77831-145508,2024-06-24,Large,FastAPI,77831.0,145508.0,111669.5,North Rebecca,LS
406,"Johnson, Williams and Perkins",Finance,quant researcher,"AWS, GCP, Azure, Scikit-learn, Python",Mid,Internship,"Bennettland, SN",91591-110529,2024-11-11,Mid,"FastAPI, TensorFlow",91591.0,110529.0,101060.0,Bennettland,SN
407,Hays-Smith,Finance,ai researcher,"FastAPI, NumPy, Excel",Entry,Full-time,"North Kristin, LC",115140-139207,2024-04-21,Mid,"MLflow, TensorFlow",115140.0,139207.0,127173.5,North Kristin,LC
408,Hansen-Martin,Healthcare,ml engineer,"Reinforcement Learning, GCP, PyTorch",Senior,Full-time,"Jessicaborough, BB",52749-82725,2024-11-08,Startup,"LangChain, MLflow, Scikit-learn",52749.0,82725.0,67737.0,Jessicaborough,BB
409,Calderon Inc,Retail,quant researcher,"GCP, SQL, R, AWS",Mid,Remote,"Alexanderfort, PT",59860-82154,2024-11-29,Startup,LangChain,59860.0,82154.0,71007.0,Alexanderfort,PT
410,Brown Group,Healthcare,ai researcher,"CUDA, SQL, AWS, Azure, Python",Senior,Contract,"Jameston, RO",134954-197152,2025-08-19,Startup,"LangChain, Scikit-learn",134954.0,197152.0,166053.0,Jameston,RO
411,"Robertson, Davis and Gray",Tech,data analyst,"Excel, Scikit-learn, Flask, Power BI",Senior,Contract,"Martintown, TW",89200-180591,2025-08-09,Startup,"KDB+, FastAPI",89200.0,180591.0,134895.5,Martintown,TW
412,"Anderson, Lawrence and Drake",Automotive,ai researcher,"FastAPI, Azure, Pandas, NumPy",Entry,Full-time,"Annastad, AT",54169-136576,2025-06-28,Startup,"BigQuery, TensorFlow, KDB+",54169.0,136576.0,95372.5,Annastad,AT
413,Lynn-Burke,Healthcare,data scientist,"PyTorch, Power BI, Scikit-learn",Entry,Remote,"East Carolport, BA",77375-151774,2024-12-17,Startup,"LangChain, MLflow",77375.0,151774.0,114574.5,East Carolport,BA
414,Travis-Glass,Healthcare,ai product manager,"Hugging Face, PyTorch, Reinforcement Learning, MLflow, Scikit-learn",Mid,Internship,"Simmonsside, MW",44125-73147,2025-08-11,Large,"MLflow, Scikit-learn",44125.0,73147.0,58636.0,Simmonsside,MW
415,Leonard LLC,Education,data analyst,"LangChain, Python, MLflow, TensorFlow, FastAPI",Entry,Internship,"Bellfort, MV",68767-93624,2025-02-05,Mid,FastAPI,68767.0,93624.0,81195.5,Bellfort,MV
416,"Kim, Allison and Ryan",Retail,ml engineer,"Keras, Python, SQL",Mid,Contract,"Bowersberg, BD",43289-102091,2024-11-29,Large,"KDB+, PyTorch",43289.0,102091.0,72690.0,Bowersberg,BD
417,"Ellis, Townsend and Harrison",Finance,ai product manager,"SQL, R, TensorFlow, Flask",Entry,Internship,"South Andreamouth, AF",99708-126007,2024-05-19,Mid,"KDB+, LangChain",99708.0,126007.0,112857.5,South Andreamouth,AF
418,"Steele, Aguilar and Jackson",Finance,ml engineer,"Reinforcement Learning, Keras, NumPy, Pandas, Hugging Face, R",Entry,Contract,"North Amandamouth, IE",57692-81756,2025-04-06,Large,TensorFlow,57692.0,81756.0,69724.0,North Amandamouth,IE
419,Peck Group,Finance,ai researcher,"Python, LangChain, CUDA, C++",Mid,Full-time,"West Christopherville, HR",54082-149736,2025-09-17,Mid,LangChain,54082.0,149736.0,101909.0,West Christopherville,HR
420,Higgins-Hall,E-commerce,data analyst,"Keras, R, NumPy, Reinforcement Learning",Mid,Contract,"Suttonland, MV",101456-135672,2024-03-16,Startup,"Scikit-learn, KDB+, MLflow",101456.0,135672.0,118564.0,Suttonland,MV
421,"Hicks, Sullivan and Kline",Education,ai researcher,"TensorFlow, Keras, Python, FastAPI",Mid,Contract,"Steveborough, LR",77948-107734,2025-03-15,Startup,"LangChain, FastAPI, TensorFlow",77948.0,107734.0,92841.0,Steveborough,LR
422,Marquez and Sons,Retail,ai researcher,"Pandas, C++, PyTorch, TensorFlow",Mid,Contract,"East Aaron, IQ",143838-191740,2024-02-19,Mid,LangChain,143838.0,191740.0,167789.0,East Aaron,IQ
423,Moore-Mann,Education,quant researcher,"FastAPI, CUDA, R, Scikit-learn",Entry,Contract,"Melvintown, HT",64090-112937,2024-02-20,Large,"TensorFlow, PyTorch",64090.0,112937.0,88513.5,Melvintown,HT
424,Ramirez Ltd,Finance,ml engineer,"LangChain, MLflow, Flask, AWS",Entry,Internship,"South Jeremyton, AM",67555-113613,2025-07-11,Large,LangChain,67555.0,113613.0,90584.0,South Jeremyton,AM
425,"Garcia, Drake and Gonzalez",Finance,computer vision engineer,"Excel, FastAPI, Hugging Face, LangChain, Flask",Senior,Full-time,"Jamesfurt, BW",73755-149397,2024-12-14,Startup,"BigQuery, Scikit-learn",73755.0,149397.0,111576.0,Jamesfurt,BW
426,"Edwards, Jackson and Baker",Automotive,data analyst,"NumPy, MLflow, TensorFlow",Entry,Contract,"Sullivanshire, WS",147219-223596,2024-11-11,Large,"PyTorch, TensorFlow",147219.0,223596.0,185407.5,Sullivanshire,WS
427,Turner Group,E-commerce,nlp engineer,"TensorFlow, Power BI, GCP, Flask, Keras, Pandas",Entry,Internship,"Mariaburgh, AT",120574-164253,2025-02-13,Mid,"FastAPI, BigQuery, TensorFlow",120574.0,164253.0,142413.5,Mariaburgh,AT
428,Castro PLC,Education,quant researcher,"TensorFlow, GCP, Reinforcement Learning, Hugging Face",Senior,Internship,"West Tammie, KW",76450-162635,2023-11-30,Startup,"PyTorch, TensorFlow, KDB+",76450.0,162635.0,119542.5,West Tammie,KW
429,"Coffey, Shannon and Mclean",Automotive,ml engineer,"MLflow, Keras, Reinforcement Learning, Flask, TensorFlow, R",Entry,Full-time,"Johnfurt, MR",105179-161042,2025-05-30,Startup,"PyTorch, KDB+",105179.0,161042.0,133110.5,Johnfurt,MR
430,Wilcox Ltd,Automotive,computer vision engineer,"FastAPI, R, Scikit-learn, SQL",Mid,Full-time,"Robertsonbury, VN",100296-111823,2024-03-07,Startup,"TensorFlow, FastAPI",100296.0,111823.0,106059.5,Robertsonbury,VN
431,Mcbride-Skinner,E-commerce,ai product manager,"PyTorch, CUDA, Reinforcement Learning, C++",Entry,Full-time,"Port Daleborough, MW",53381-103735,2025-06-19,Mid,"TensorFlow, BigQuery, LangChain",53381.0,103735.0,78558.0,Port Daleborough,MW
432,Alexander Inc,E-commerce,ai researcher,"FastAPI, C++, MLflow, Reinforcement Learning",Senior,Full-time,"East Lynnchester, FI",116301-214253,2024-06-27,Large,"TensorFlow, MLflow",116301.0,214253.0,165277.0,East Lynnchester,FI
433,Ramsey-Barnes,Tech,ai researcher,"LangChain, Python, AWS, R, Azure, Pandas",Entry,Contract,"Jackburgh, BB",140443-182231,2023-11-29,Mid,"BigQuery, MLflow, KDB+",140443.0,182231.0,161337.0,Jackburgh,BB
434,Clark and Sons,Retail,nlp engineer,"FastAPI, NumPy, C++, Azure",Entry,Contract,"East Samuelfort, PS",92799-159163,2024-07-10,Mid,"MLflow, KDB+, FastAPI",92799.0,159163.0,125981.0,East Samuelfort,PS
435,Blair-Shaffer,Tech,ai product manager,"Keras, PyTorch, R, Hugging Face, CUDA",Entry,Contract,"Lindseymouth, CM",48181-75949,2024-08-29,Startup,BigQuery,48181.0,75949.0,62065.0,Lindseymouth,CM
436,Salazar-Clark,Retail,quant researcher,"Reinforcement Learning, AWS, Azure, Pandas, Keras, Power BI",Entry,Full-time,"New Samanthaport, MC",72489-167549,2024-03-21,Mid,"TensorFlow, BigQuery",72489.0,167549.0,120019.0,New Samanthaport,MC
437,Jones-Simpson,E-commerce,computer vision engineer,"TensorFlow, CUDA, MLflow",Senior,Internship,"Charlottechester, BZ",140658-230833,2023-11-08,Mid,"TensorFlow, BigQuery",140658.0,230833.0,185745.5,Charlottechester,BZ
438,Johnson-Jackson,Finance,data scientist,"R, MLflow, Reinforcement Learning, Azure",Entry,Remote,"Lake Meganborough, MX",130536-167334,2025-07-06,Large,"TensorFlow, KDB+",130536.0,167334.0,148935.0,Lake Meganborough,MX
439,Lane-Rodriguez,Finance,quant researcher,"Scikit-learn, Excel, Azure, Flask, Hugging Face, Pandas",Senior,Full-time,"South Katherine, DE",81950-133686,2024-03-30,Startup,"PyTorch, LangChain, KDB+",81950.0,133686.0,107818.0,South Katherine,DE
440,"Jones, Thompson and Gomez",Education,quant researcher,"Power BI, Hugging Face, GCP",Senior,Contract,"West Gregorychester, ET",134169-173479,2024-05-04,Large,Scikit-learn,134169.0,173479.0,153824.0,West Gregorychester,ET
441,"Ho, Mitchell and King",Automotive,ml engineer,"NumPy, LangChain, R, Scikit-learn",Senior,Contract,"Port Carolineside, SG",40824-92636,2025-03-16,Large,TensorFlow,40824.0,92636.0,66730.0,Port Carolineside,SG
442,Mathis-Davila,Tech,quant researcher,"SQL, Hugging Face, Keras, AWS, MLflow, R",Mid,Internship,"West Bethchester, HR",94799-136985,2024-10-13,Startup,"LangChain, PyTorch, FastAPI",94799.0,136985.0,115892.0,West Bethchester,HR
443,Perez-Hawkins,Automotive,computer vision engineer,"Pandas, Hugging Face, Keras",Mid,Internship,"New Frederickstad, NA",83771-94234,2025-07-28,Large,FastAPI,83771.0,94234.0,89002.5,New Frederickstad,NA
444,"Perez, Butler and Carroll",E-commerce,ml engineer,"Excel, Hugging Face, SQL, Azure",Entry,Contract,"Lauraland, KZ",115058-174712,2025-04-29,Mid,KDB+,115058.0,174712.0,144885.0,Lauraland,KZ
445,Ford PLC,E-commerce,computer vision engineer,"FastAPI, Scikit-learn, Pandas, NumPy, Excel, CUDA",Mid,Contract,"East Robert, RS",119046-198687,2025-02-07,Mid,"Scikit-learn, KDB+, MLflow",119046.0,198687.0,158866.5,East Robert,RS
446,Rivera Ltd,Retail,computer vision engineer,"Python, PyTorch, Keras, Power BI, Reinforcement Learning",Senior,Remote,"West Bonnieville, CA",76496-169636,2024-03-16,Startup,BigQuery,76496.0,169636.0,123066.0,West Bonnieville,CA
447,Thompson-White,E-commerce,computer vision engineer,"LangChain, TensorFlow, Pandas, Flask",Senior,Remote,"Coryfurt, KG",114726-166530,2025-01-02,Large,"FastAPI, MLflow",114726.0,166530.0,140628.0,Coryfurt,KG
448,"Johnson, Foster and Martin",Education,nlp engineer,"MLflow, CUDA, Power BI, FastAPI",Mid,Remote,"Smithfurt, SB",87007-185082,2023-10-22,Startup,"FastAPI, BigQuery",87007.0,185082.0,136044.5,Smithfurt,SB
449,Solomon-Hartman,Finance,data analyst,"Pandas, Azure, Keras, PyTorch, AWS, Hugging Face",Mid,Remote,"West Christopherfort, GM",101003-168211,2024-08-24,Startup,"BigQuery, KDB+",101003.0,168211.0,134607.0,West Christopherfort,GM
450,"Kelley, Adams and Robertson",Automotive,ml engineer,"Hugging Face, SQL, TensorFlow",Entry,Full-time,"Port James, LY",123063-188735,2024-08-13,Mid,"Scikit-learn, BigQuery",123063.0,188735.0,155899.0,Port James,LY
451,Johnson-Cabrera,Healthcare,ml engineer,"TensorFlow, PyTorch, FastAPI, Hugging Face, LangChain, AWS",Senior,Contract,"South Bryanberg, GD",43723-55609,2024-05-12,Large,"TensorFlow, PyTorch, LangChain",43723.0,55609.0,49666.0,South Bryanberg,GD
452,"Love, Liu and Flynn",Tech,quant researcher,"Excel, LangChain, MLflow, CUDA, Reinforcement Learning",Entry,Full-time,"Matthewshire, FR",62280-142270,2025-03-25,Startup,MLflow,62280.0,142270.0,102275.0,Matthewshire,FR
453,Mcdonald and Sons,Retail,quant researcher,"TensorFlow, AWS, Azure",Senior,Remote,"Villanuevaberg, KM",122800-196570,2025-05-01,Large,"FastAPI, LangChain, PyTorch",122800.0,196570.0,159685.0,Villanuevaberg,KM
454,Le Ltd,Finance,ai product manager,"R, TensorFlow, C++, Hugging Face, SQL, Flask",Entry,Internship,"South Ginachester, TV",109750-192019,2024-03-08,Large,"KDB+, BigQuery",109750.0,192019.0,150884.5,South Ginachester,TV
455,Larson-Moss,Healthcare,ai product manager,"C++, Reinforcement Learning, NumPy, LangChain",Mid,Internship,"South Williamfurt, BB",92256-151389,2023-10-13,Large,FastAPI,92256.0,151389.0,121822.5,South Williamfurt,BB
456,"Farmer, Thompson and Smith",Healthcare,ml engineer,"Flask, SQL, PyTorch, C++, TensorFlow",Mid,Full-time,"New Daniel, KP",62733-72920,2023-12-30,Large,KDB+,62733.0,72920.0,67826.5,New Daniel,KP
457,Burns-Davis,Healthcare,nlp engineer,"Python, AWS, NumPy, Power BI, Hugging Face",Senior,Internship,"Nicholasshire, PH",44536-65243,2024-01-03,Large,"FastAPI, LangChain",44536.0,65243.0,54889.5,Nicholasshire,PH
458,Scott-Hernandez,Retail,ml engineer,"CUDA, Keras, TensorFlow, Scikit-learn",Senior,Full-time,"Freemanland, GD",117848-182284,2025-03-31,Startup,BigQuery,117848.0,182284.0,150066.0,Freemanland,GD
459,Lozano-Valencia,E-commerce,data scientist,"LangChain, AWS, Scikit-learn, Flask",Entry,Internship,"Kelseybury, US",126486-160422,2024-03-22,Startup,"BigQuery, KDB+",126486.0,160422.0,143454.0,Kelseybury,US
460,Watkins-Pearson,Finance,quant researcher,"R, SQL, Hugging Face, Keras, Pandas",Mid,Remote,"East Rhondaview, IL",47182-68293,2024-09-04,Large,"TensorFlow, BigQuery, LangChain",47182.0,68293.0,57737.5,East Rhondaview,IL
461,Lewis Inc,Finance,data scientist,"Hugging Face, Pandas, PyTorch, SQL, R, Excel",Senior,Full-time,"Lake Anthony, MN",61782-111016,2024-02-15,Startup,"LangChain, TensorFlow",61782.0,111016.0,86399.0,Lake Anthony,MN
462,"Moreno, Salazar and Sexton",Finance,data scientist,"Power BI, Hugging Face, TensorFlow",Mid,Full-time,"North Johnstad, TZ",80727-158409,2025-01-29,Startup,"MLflow, Scikit-learn",80727.0,158409.0,119568.0,North Johnstad,TZ
463,Lopez Ltd,Tech,ai researcher,"Power BI, R, GCP",Entry,Full-time,"East Deborahshire, DZ",114829-163954,2025-05-19,Mid,PyTorch,114829.0,163954.0,139391.5,East Deborahshire,DZ
464,Orozco-Tran,Retail,quant researcher,"Reinforcement Learning, Excel, TensorFlow, AWS, C++",Mid,Internship,"Kevinton, ZW",144070-166802,2024-01-09,Large,"KDB+, MLflow, TensorFlow",144070.0,166802.0,155436.0,Kevinton,ZW
